#options: 480x852 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=1 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=10 rc=abr mbtree=1 bitrate=18407 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=22088 vbv_bufsize=36814 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:33 out:33 type:B dur:2 cpbdur:2 q:26.84 aq:27.75 tex:460057 mv:12379 misc:604 imb:880 pmb:638 smb:102 d:- ref:0 ;
in:32 out:34 type:b dur:2 cpbdur:2 q:26.84 aq:28.30 tex:406806 mv:10345 misc:1065 imb:893 pmb:432 smb:295 d:- ref:0 ;
in:34 out:35 type:b dur:2 cpbdur:2 q:26.84 aq:28.04 tex:402050 mv:10648 misc:1102 imb:873 pmb:392 smb:355 d:- ref:0 ;
in:37 out:36 type:P dur:2 cpbdur:2 q:26.83 aq:26.62 tex:586023 mv:6512 misc:289 imb:934 pmb:643 smb:43 d:- ref:0 ;
in:36 out:37 type:b dur:2 cpbdur:2 q:26.84 aq:28.29 tex:439959 mv:12108 misc:885 imb:929 pmb:483 smb:208 d:- ref:0 ;
in:41 out:38 type:P dur:2 cpbdur:2 q:26.75 aq:26.44 tex:656962 mv:7911 misc:143 imb:991 pmb:629 smb:0 d:- ref:0 ;
in:39 out:39 type:B dur:2 cpbdur:2 q:26.83 aq:27.76 tex:480240 mv:12807 misc:425 imb:924 pmb:653 smb:43 d:- ref:0 ;
in:38 out:40 type:b dur:2 cpbdur:2 q:26.83 aq:28.07 tex:421705 mv:10530 misc:1021 imb:921 pmb:392 smb:307 d:- ref:0 ;
in:40 out:41 type:b dur:2 cpbdur:2 q:26.83 aq:28.25 tex:419233 mv:11239 misc:1008 imb:919 pmb:451 smb:250 d:- ref:0 ;
in:45 out:42 type:P dur:2 cpbdur:2 q:26.70 aq:27.02 tex:571584 mv:7109 misc:259 imb:969 pmb:637 smb:14 d:- ref:0 ;
in:43 out:43 type:B dur:2 cpbdur:2 q:26.75 aq:27.79 tex:468107 mv:11502 misc:623 imb:930 pmb:592 smb:98 d:- ref:0 ;
in:42 out:44 type:b dur:2 cpbdur:2 q:26.75 aq:27.59 tex:432813 mv:9858 misc:1097 imb:911 pmb:334 smb:375 d:- ref:0 ;
in:44 out:45 type:b dur:2 cpbdur:2 q:26.75 aq:27.96 tex:444712 mv:11760 misc:928 imb:924 pmb:469 smb:227 d:- ref:0 ;
in:48 out:46 type:P dur:2 cpbdur:2 q:26.58 aq:28.15 tex:490102 mv:6834 misc:544 imb:985 pmb:551 smb:84 d:- ref:0 ;
in:46 out:47 type:B dur:2 cpbdur:2 q:26.70 aq:27.71 tex:474131 mv:11579 misc:866 imb:945 pmb:485 smb:190 d:- ref:0 ;
in:47 out:48 type:b dur:2 cpbdur:2 q:26.70 aq:28.11 tex:430325 mv:11801 misc:834 imb:934 pmb:505 smb:181 d:- ref:0 ;
in:49 out:49 type:I dur:2 cpbdur:2 q:21.82 aq:21.45 tex:1389978 mv:65145 misc:109 imb:1620 pmb:0 smb:0 d:- ref:;
in:53 out:50 type:P dur:2 cpbdur:2 q:26.68 aq:26.59 tex:672597 mv:9370 misc:161 imb:653 pmb:966 smb:1 d:- ref:0 ;
in:51 out:51 type:B dur:2 cpbdur:2 q:26.68 aq:27.59 tex:433036 mv:15685 misc:367 imb:440 pmb:1135 smb:45 d:- ref:0 ;
in:50 out:52 type:b dur:2 cpbdur:2 q:26.68 aq:28.43 tex:333466 mv:15154 misc:636 imb:447 pmb:1043 smb:130 d:- ref:0 ;
in:52 out:53 type:b dur:2 cpbdur:2 q:26.68 aq:28.35 tex:325496 mv:14167 misc:697 imb:409 pmb:1074 smb:137 d:- ref:0 ;
in:57 out:54 type:P dur:2 cpbdur:2 q:26.55 aq:26.85 tex:659603 mv:10440 misc:165 imb:660 pmb:960 smb:0 d:- ref:0 ;
in:55 out:55 type:B dur:2 cpbdur:2 q:26.67 aq:27.67 tex:430706 mv:16203 misc:331 imb:452 pmb:1130 smb:38 d:- ref:0 ;
in:54 out:56 type:b dur:2 cpbdur:2 q:26.67 aq:28.59 tex:363167 mv:17154 misc:519 imb:455 pmb:1081 smb:84 d:- ref:0 ;
in:56 out:57 type:b dur:2 cpbdur:2 q:26.67 aq:28.39 tex:329465 mv:15199 misc:664 imb:420 pmb:1054 smb:146 d:- ref:0 ;
in:61 out:58 type:P dur:2 cpbdur:2 q:26.44 aq:27.15 tex:691563 mv:11997 misc:160 imb:846 pmb:774 smb:0 d:- ref:0 ;
in:59 out:59 type:B dur:2 cpbdur:2 q:26.55 aq:27.71 tex:478805 mv:19844 misc:327 imb:505 pmb:1086 smb:29 d:- ref:0 ;
in:58 out:60 type:b dur:2 cpbdur:2 q:26.55 aq:28.35 tex:361452 mv:16993 misc:515 imb:450 pmb:1066 smb:104 d:- ref:0 ;
in:60 out:61 type:b dur:2 cpbdur:2 q:26.55 aq:28.45 tex:396533 mv:21064 misc:435 imb:490 pmb:1066 smb:64 d:- ref:0 ;
in:65 out:62 type:P dur:2 cpbdur:2 q:26.58 aq:27.10 tex:701870 mv:11707 misc:215 imb:943 pmb:665 smb:12 d:- ref:0 ;
in:63 out:63 type:B dur:2 cpbdur:2 q:26.58 aq:27.57 tex:514145 mv:22462 misc:305 imb:602 pmb:987 smb:31 d:- ref:0 ;
in:62 out:64 type:b dur:2 cpbdur:2 q:26.58 aq:28.40 tex:399438 mv:21380 misc:406 imb:528 pmb:1025 smb:67 d:- ref:0 ;
in:64 out:65 type:b dur:2 cpbdur:2 q:26.58 aq:28.26 tex:401824 mv:18994 misc:446 imb:555 pmb:987 smb:78 d:- ref:0 ;
in:69 out:66 type:P dur:2 cpbdur:2 q:26.45 aq:26.42 tex:761909 mv:11370 misc:153 imb:918 pmb:702 smb:0 d:- ref:0 ;
in:67 out:67 type:B dur:2 cpbdur:2 q:26.58 aq:27.26 tex:534702 mv:20740 misc:254 imb:659 pmb:944 smb:17 d:- ref:0 ;
in:66 out:68 type:b dur:2 cpbdur:2 q:26.58 aq:28.14 tex:420317 mv:19382 misc:349 imb:597 pmb:969 smb:54 d:- ref:0 ;
in:68 out:69 type:b dur:2 cpbdur:2 q:26.58 aq:28.11 tex:423768 mv:17828 misc:364 imb:620 pmb:950 smb:50 d:- ref:0 ;
in:73 out:70 type:P dur:2 cpbdur:2 q:26.32 aq:26.42 tex:688279 mv:9500 misc:157 imb:773 pmb:847 smb:0 d:- ref:0 ;
in:71 out:71 type:B dur:2 cpbdur:2 q:26.45 aq:27.32 tex:469889 mv:16662 misc:401 imb:580 pmb:965 smb:75 d:- ref:0 ;
in:70 out:72 type:b dur:2 cpbdur:2 q:26.45 aq:27.90 tex:454025 mv:19035 misc:332 imb:638 pmb:932 smb:50 d:- ref:0 ;
in:72 out:73 type:b dur:2 cpbdur:2 q:26.45 aq:28.00 tex:429326 mv:17503 misc:467 imb:581 pmb:944 smb:95 d:- ref:0 ;
in:77 out:74 type:P dur:2 cpbdur:2 q:26.18 aq:25.99 tex:758906 mv:10772 misc:170 imb:814 pmb:804 smb:2 d:- ref:0 ;
in:75 out:75 type:B dur:2 cpbdur:2 q:26.32 aq:27.10 tex:520220 mv:18122 misc:370 imb:606 pmb:963 smb:51 d:- ref:0 ;
in:74 out:76 type:b dur:2 cpbdur:2 q:26.32 aq:27.88 tex:423774 mv:16861 misc:469 imb:586 pmb:932 smb:102 d:- ref:0 ;
